IdFattura,IdProdotto,PrezzoUnitario,Quantita,Sconto,Omaggio,Iva
1,4,28.80,28,0.00,0,0.20
1,13,38.00,24,0.00,0,0.20
2,1,7.30,18,0.00,0,0.20
2,3,14.40,4,0.00,0,0.20
2,9,12.00,43,0.00,0,0.20
2,10,7.00,14,0.00,0,0.20
2,29,4.50,46,0.00,0,0.20
3,1,23.25,17,0.00,0,0.20
3,13,39.00,2,0.00,0,0.20
3,22,36.40,34,0.00,0,0.20
4,2,27.80,26,0.00,0,0.20
4,7,18.00,29,0.00,0,0.20
4,11,44.00,18,0.00,0,0.20
5,4,9.65,1,0.00,0,0.20
5,20,53.00,33,0.00,0,0.20
5,22,49.30,37,0.00,0,0.20
6,3,6.20,39,0.00,0,0.20
6,7,30.40,16,0.00,0,0.20
6,26,31.00,38,0.00,0,0.20
7,3,81.00,1,0.00,0,0.20
7,5,25.89,32,0.00,0,0.20
7,24,10.00,1,0.00,0,0.20
8,3,32.80,12,0.00,0,0.20
8,15,11.20,14,0.00,0,0.20
8,23,6.00,23,0.00,0,0.20
9,29,15.00,11,0.00,0,0.20
10,14,6.00,50,0.00,0,0.20
10,17,53.00,38,0.00,0,0.20
10,18,27.80,41,0.00,0,0.20
11,8,33.25,9,0.00,0,0.20
11,11,7.00,32,0.00,0,0.20
11,18,20.70,28,0.00,0,0.20
12,3,12.50,47,0.00,0,0.20
12,6,10.00,16,0.00,0,0.20
12,23,7.00,42,0.00,0,0.20
12,24,31.23,50,0.00,0,0.20
13,2,28.50,46,0.00,0,0.20
14,6,123.79,48,0.00,0,0.20
14,26,210.80,24,0.00,0,0.20
15,2,18.00,7,0.00,0,0.20
15,5,39.00,47,0.00,0,0.20
15,28,12.00,26,0.00,0,0.20
16,22,2.50,46,0.00,0,0.20
16,25,43.90,11,0.00,0,0.20
17,10,24.00,18,0.00,0,0.20
17,14,31.23,31,0.00,0,0.20
17,19,12.50,18,0.00,0,0.20
17,30,4.50,8,0.00,0,0.20
18,5,9.00,25,0.00,0,0.20
18,7,4.80,6,0.00,0,0.20
18,11,21.50,23,0.00,0,0.20
18,27,7.45,44,0.00,0,0.20
18,30,16.00,1,0.00,0,0.20
19,2,13.00,3,0.00,0,0.20
19,4,10.00,46,0.00,0,0.20
20,9,7.75,42,0.00,0,0.20
20,12,27.80,40,0.00,0,0.20
20,28,19.00,44,0.00,0,0.20
21,1,9.50,39,0.00,0,0.20
21,9,9.65,49,0.00,0,0.20
21,11,24.00,7,0.00,0,0.20
21,18,10.00,44,0.00,0,0.20
21,22,10.40,36,0.00,0,0.20
21,27,7.00,17,0.00,0,0.20
22,11,19.00,46,0.00,0,0.20
22,14,25.89,9,0.00,0,0.20
22,19,38.00,4,0.00,0,0.20
23,6,13.00,23,0.00,0,0.20
23,25,16.80,50,0.00,0,0.20
23,27,12.40,25,0.00,0,0.20
24,8,27.80,35,0.00,0,0.20
24,19,4.80,37,0.00,0,0.20
25,6,14.00,24,0.00,0,0.20
25,10,8.00,49,0.00,0,0.20
25,30,15.00,17,0.00,0,0.20
26,10,28.50,26,0.00,0,0.20
26,16,45.60,31,0.00,0,0.20
27,16,25.89,28,0.00,0,0.20
27,24,22.80,5,0.00,0,0.20
28,3,14.00,1,0.00,0,0.20
28,24,9.50,11,0.00,0,0.20
29,6,39.40,15,0.00,0,0.20
29,22,23.25,5,0.00,0,0.20
30,5,21.50,18,0.00,0,0.20
30,22,6.00,11,0.00,0,0.20
31,20,46.00,46,0.00,0,0.20
31,25,20.00,19,0.00,0,0.20
31,30,15.00,4,0.00,0,0.20
32,8,11.20,19,0.00,0,0.20
32,11,14.00,13,0.00,0,0.20
34,1,16.80,40,0.00,0,0.20
34,2,18.00,38,0.00,0,0.20
34,20,8.00,26,0.00,0,0.20
34,29,19.00,19,0.00,0,0.20
35,1,20.00,4,0.00,0,0.20
35,4,14.40,11,0.00,0,0.20
35,5,31.00,44,0.00,0,0.20
35,25,14.70,41,0.00,0,0.20
36,7,38.00,13,0.00,0,0.20
36,12,18.00,48,0.00,0,0.20
36,16,13.00,5,0.00,0,0.20
36,19,12.50,1,0.00,0,0.20
36,29,9.80,1,0.00,0,0.20
37,14,12.00,35,0.00,0,0.20
38,18,23.25,5,0.00,0,0.20
39,9,17.60,11,0.00,0,0.20
39,11,49.30,14,0.00,0,0.20
40,29,7.70,21,0.00,0,0.20
40,30,17.60,41,0.00,0,0.20
41,2,18.00,37,0.00,0,0.20
41,13,26.20,30,0.00,0,0.20
41,16,7.00,47,0.00,0,0.20
41,28,15.60,13,0.00,0,0.20
42,3,17.60,29,0.00,0,0.20
42,11,9.20,43,0.00,0,0.20
42,13,14.00,31,0.00,0,0.20
42,16,7.30,46,0.00,0,0.20
43,4,50.00,47,0.00,0,0.20
43,6,62.50,48,0.00,0,0.20
43,23,14.40,28,0.00,0,0.20
43,29,19.45,26,0.00,0,0.20
44,16,21.50,15,0.00,0,0.20
44,29,12.50,30,0.00,0,0.20
45,3,10.00,19,0.00,0,0.20
45,20,14.40,43,0.00,0,0.20
45,26,31.00,32,0.00,0,0.20
45,27,19.00,13,0.00,0,0.20
46,4,263.50,5,0.00,0,0.20
46,6,2.50,32,0.00,0,0.20
46,10,123.79,9,0.00,0,0.20
47,7,17.00,24,0.00,0,0.20
47,9,7.75,24,0.00,0,0.20
47,12,13.25,36,0.00,0,0.20
47,19,18.00,8,0.00,0,0.20
47,30,43.90,10,0.00,0,0.20
48,6,19.45,9,0.00,0,0.20
48,7,8.00,4,0.00,0,0.20
48,16,9.65,23,0.00,0,0.20
49,13,18.00,9,0.00,0,0.20
49,19,21.05,38,0.00,0,0.20
49,24,15.20,18,0.00,0,0.20
49,26,21.05,48,0.00,0,0.20
50,9,4.80,41,0.00,0,0.20
50,14,22.00,43,0.00,0,0.20
51,1,28.50,14,0.00,0,0.20
51,2,14.00,49,0.00,0,0.20
51,15,34.80,41,0.00,0,0.20
51,18,18.00,31,0.00,0,0.20
51,25,10.00,17,0.00,0,0.20
53,16,34.00,49,0.00,0,0.20
53,26,4.50,34,0.00,0,0.20
55,5,20.00,23,0.00,0,0.20
55,8,9.50,47,0.00,0,0.20
55,18,8.00,46,0.00,0,0.20
55,20,13.00,3,0.00,0,0.20
55,22,16.25,41,0.00,0,0.20
55,25,5.90,12,0.00,0,0.20
55,28,26.20,36,0.00,0,0.20
56,6,33.25,37,0.00,0,0.20
56,21,16.00,26,0.00,0,0.20
57,12,18.00,28,0.00,0,0.20
57,18,7.45,35,0.00,0,0.20
57,29,9.50,9,0.00,0,0.20
58,1,19.45,47,0.00,0,0.20
59,1,7.75,47,0.00,0,0.20
59,27,55.00,12,0.00,0,0.20
